"Total BFTE","Total BFTE","Total BFTE","Total BFTE","Total BFTE","Total BFTE","Total BFTE","Total BFTE","Total BFTE","Total BFTE","Total BFTE","Total BFTE","Total Revenue","Total Revenue","Total Revenue","Total Revenue","Total Revenue","Total Revenue","Total Revenue","Total Revenue","Total Revenue","Total Revenue","Total Revenue","Total Revenue"
"Apr'24","Aug'24","Dec'24","Feb'25","JAN'25","Jul'24","Jun'24","Mar'25","May'24","NOV'24","Oct'24","Sep'24","Apr'24","Aug'24","Dec'24","Feb'25","JAN'25","Jul'24","Jun'24","Mar'25","May'24","NOV'24","Oct'24","Sep'24"
"","","1.431","0.678","1.0","","","1.226","","","","","","","19550.64","12809.04","14157.36","","","14157.36","","","",""
"","","0.905","0.678","1.095","","","1.226","","1.696","","","","","18688.4","18688.4","22622.8","","","20655.6","","34426.0","",""
"6.981","8.003","6.197","6.016","7.97","7.632","8.046","8.908","8.055","7.696","7.664","8.081","121014.79000000001","138743.22","105261.88","121672.20999999999","140812.86","132094.88","125446.58","114054.56","141342.18","113226.91","139060.09","128888.32"
"1.81","4.332","7.114","9.4","8.11","3.826","3.625","9.334","3.592","7.521","6.881","5.833","15131.720000000001","16555.010000000002","69633.29000000001","23634.64","18018.02","16867.27","16758.71","16764.48","16867.25","16356.72","16590.22","16638.69"
"3.454","1.619","1.95","1.9","1.758","1.689","1.95","1.8","2.001","1.8","1.864","1.858","26968.0","12320.0","14165.0","13926.0","14019.0","14119.0","14013.0","14244.88","15326.0","12930.0","14882.0","14263.0"
"1.8090000000000002","3.982","7.276999999999999","6.662","6.567","2.305","1.388","5.647","1.774","4.709","5.21","2.735","10478.400000000001","17034.58","34673.46","28681.04","30901.050000000003","14322.2","7246.8099999999995","24965.69","11406.8","19834.3","24654.19","13049.35"
"4.545","5.0","5.426","5.159","2.824","5.0","5.0","6.2219999999999995","5.1370000000000005","6.518","5.0","5.0","107584.69","122013.6","134296.56","167461.73","88004.80000000002","123485.6","116503.6","128978.57999999999","124126.53","170515.6","121902.6","122801.6"
"1.0","1.0","0.905","1.0","1.0","1.05","0.95","1.0","1.0","0.956","1.036","1.0","22000.0","21832.0","18836.0","18949.0","20675.0","23000.0","19000.0","20855.0","22000.0","17690.0","23820.0","19922.0"
"0.748","","0.905","1.053","1.0","0.0","0.162","0.899","0.646","1.0","1.0","1.682","2899.16","","16604.48","17478.4","18352.32","0.0","693.04","16604.479999999996","3012.16","16604.48","20100.160000000003","30587.2"
"6.559","7.216","8.425","9.381","9.089","6.38","6.9","3.5069999999999997","6.4910000000000005","9.296","8.543","7.439","48024.729999999996","54562.09","60846.490000000005","65208.6","69860.34","49508.68","46633.25","73742.25","47522.09","59893.79","68025.17","67485.48999999999"
"8.666","7.619","7.32","7.7","7.319","7.914","8.35","5.2829999999999995","8.866","7.857","7.6659999999999995","7.7139999999999995","0.0","14769.96","14776.060000000001","-70.02","14586.95","30000.03","-0.12000000000000455","29801.04","45000.03","14605.0","14752.880000000001","14892.91"
"0.954","1.0","0.0","1.0","1.0","1.0","1.0","0.954","1.046","1.045","1.036","0.714","9779.279999999999","10087.96","-153.0","8799.92","9949.96","10710.64","9313.599999999999","8711.92","10710.64","9032.599999999999","10541.640000000001","9240.599999999999"
"2.0","2.174","0.736","2.0","1.863","2.026","1.8","2.046","2.0","2.09","2.072","1.428","10380.0","11358.0","3202.0","9071.0","9542.0","10881.0","8424.0","9700.0","10467.0","9316.0","10866.0","9525.0"
"81.783","104.624","125.255","128.469","144.461","94.586","95.405","116.675","88.025","129.835","112.775","109.28399999999999","346689.83","510981.2","661199.47","868520.46","899421.91","586269.21","650122.89","804439.16","646681.2","667525.82","666119.13","729583.11"
"8.58","7.727","8.309","8.36","8.244","7.913","7.754","10.838999999999999","7.661","7.883","7.1690000000000005","8.095","95215.98000000001","88493.54000000001","90949.55","91549.68000000001","88169.64","93558.96","76418.64","94224.42000000001","85529.17","87583.28","88715.83","88471.9"
"0.8","0.889","0.889","0.889","0.847","0.811","0.849","1.222","0.973","0.847","0.804","0.889","4492.799999999999","5161.6","5163.6","4968.0","4737.0","5241.6","4742.4","6545.4","5990.4","4498.400000000001","4656.400000000001","5204.6"
"11.69","13.996","7.922","19.587","20.346","12.684","12.759","21.07","12.545","8.897","8.952","12.671","126881.95","147573.78","92863.08","250509.8","106009.63","133145.01","120517.28","401110.23","126527.91","89533.44","122088.42000000001","126266.64"
"146.276","145.493","131.622","144.419","145.576","151.524","161.899","143.034","148.227","155.806","141.69","160.898","622073.61","499192.48","477652.74","516055.60000000003","561003.3099999999","585945.02","545714.03","514931.81","529498.87","539659.53","511738.93","564266.54"
